url,country,page_type,cluster,primary_keyword,word_count,guide_min,guide_max,status,note
https://pixvo.tech/mx/,mx,home,brand,Pixvo,1128,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/sistema-crecimiento-digital/,mx,commercial_hub,growth-system,sistema de crecimiento digital para PyMEs,1358,1200,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/planes/,mx,pricing,conversion,precios Pixvo Growth System,1354,1200,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/auditoria-crecimiento-digital/,mx,audit,conversion,auditoría de crecimiento digital,1370,1200,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/solicitar-diagnostico/,mx,lead_form,conversion,solicitar diagnóstico Pixvo,73,,,sin_rango_editorial,Sin rango orientativo definido en el encargo.
https://pixvo.tech/mx/nosotros/,mx,about,brand,sobre Pixvo,680,600,1000,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/contacto/,mx,contact,brand,contacto Pixvo,72,,,sin_rango_editorial,Sin rango orientativo definido en el encargo.
https://pixvo.tech/mx/soluciones/seo-para-pymes/,mx,solution,seo,SEO para PyMEs,1296,1200,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/soluciones/seo-wordpress/,mx,solution,seo,SEO para WordPress,1268,900,1500,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/soluciones/contenido-seo/,mx,solution,seo,servicio de contenido SEO,1316,900,1500,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/soluciones/automatizacion-de-procesos/,mx,solution,automation,automatización de procesos para PyMEs,1276,1200,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/soluciones/automatizacion-de-marketing/,mx,solution,automation,automatización de marketing para PyMEs,1252,900,1500,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/soluciones/seguimiento-de-leads/,mx,solution,leads,automatización del seguimiento de leads,1251,1200,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/soluciones/analitica-digital/,mx,solution,analytics,consultoría de analítica digital,1343,900,1500,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/soluciones/optimizacion-wordpress/,mx,solution,wordpress,optimización WordPress para empresas,1268,900,1500,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/soluciones/optimizacion-de-conversion/,mx,solution,cro,optimización de conversión web,1258,900,1500,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/problemas/leads-no-convierten/,mx,problem,leads,por qué mis leads no convierten,975,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/problemas/reducir-tareas-manuales/,mx,problem,automation,automatizar tareas repetitivas,954,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/problemas/web-no-convierte/,mx,problem,cro,mi web recibe visitas pero no vende,980,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/problemas/dependencia-publicidad-paga/,mx,problem,seo,reducir dependencia de publicidad pagada,961,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/problemas/medir-resultados-marketing/,mx,problem,analytics,medir resultados de marketing,940,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/problemas/conectar-marketing-y-ventas/,mx,problem,leads,conectar marketing y ventas,953,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/problemas/wordpress-lento/,mx,problem,wordpress,WordPress lento,971,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/problemas/contenido-no-genera-clientes/,mx,problem,seo,contenido que no genera clientes,971,900,1400,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/casos-de-exito/,mx,case_index,proof,casos de éxito Pixvo,785,700,1200,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/casos-de-exito/microcuotas/,mx,case_study,automation,caso de éxito de automatización de leads: Microcuotas,1281,1000,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/casos-de-exito/hospital-metropolitano/,mx,case_study,automation,plataforma de eventos Hospital Metropolitano,1172,1000,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/casos-de-exito/sanidad-web/,mx,case_study,wordpress,caso Sanidad Web,1176,1000,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/casos-de-exito/paola-informa/,mx,case_study,product,caso Paola Informa,1162,1000,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/casos-de-exito/arpitools/,mx,case_study,product,caso Arpitools,1149,1000,1800,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/recursos/,mx,resource_index,research,recursos de crecimiento digital,218,,,sin_rango_editorial,Sin rango orientativo definido en el encargo.
https://pixvo.tech/mx/recursos/seo-vs-google-ads/,mx,comparison,seo,SEO vs Google Ads,1276,1200,2000,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/recursos/agencia-seo-vs-consultor-seo/,mx,comparison,seo,Agencia SEO vs consultor SEO,1258,1200,2000,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/recursos/seo-mensual-vs-auditoria/,mx,comparison,seo,SEO mensual vs auditoría SEO,1270,1200,2000,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
https://pixvo.tech/mx/recursos/n8n-vs-zapier/,mx,comparison,automation,n8n vs Zapier,1244,1200,2000,dentro_de_guia,Rango editorial orientativo; no es un umbral de ranking.
