url,country,page_type,priority,cluster,parent_url,money_page,inbound_links,relevant_inbound_links,outbound_links,orphan,broken_outbound,redirect_outbound,wrong_country_outbound
https://pixvo.tech/mx/,mx,home,P1,brand,/,/mx/sistema-crecimiento-digital/,172,12,28,no,0,0,0
https://pixvo.tech/mx/sistema-crecimiento-digital/,mx,commercial_hub,P1,growth-system,/mx/,/mx/sistema-crecimiento-digital/,54,21,33,no,0,0,0
https://pixvo.tech/mx/planes/,mx,pricing,P1,conversion,/mx/sistema-crecimiento-digital/,/mx/solicitar-diagnostico/,52,3,18,no,0,0,0
https://pixvo.tech/mx/auditoria-crecimiento-digital/,mx,audit,P1,conversion,/mx/sistema-crecimiento-digital/,/mx/solicitar-diagnostico/,54,4,18,no,0,0,0
https://pixvo.tech/mx/solicitar-diagnostico/,mx,lead_form,P1,conversion,/mx/sistema-crecimiento-digital/,/mx/solicitar-diagnostico/,53,3,17,no,0,0,0
https://pixvo.tech/mx/nosotros/,mx,about,P3,brand,/mx/,/mx/sistema-crecimiento-digital/,52,3,16,no,0,0,0
https://pixvo.tech/mx/contacto/,mx,contact,P3,brand,/mx/,/mx/sistema-crecimiento-digital/,52,3,16,no,0,0,0
https://pixvo.tech/mx/soluciones/seo-para-pymes/,mx,solution,P1,seo,/mx/sistema-crecimiento-digital/,/mx/soluciones/seo-para-pymes/,57,9,23,no,0,0,0
https://pixvo.tech/mx/soluciones/seo-wordpress/,mx,solution,P2,seo,/mx/soluciones/seo-para-pymes/,/mx/soluciones/seo-para-pymes/,11,1,22,no,0,0,0
https://pixvo.tech/mx/soluciones/contenido-seo/,mx,solution,P2,seo,/mx/soluciones/seo-para-pymes/,/mx/soluciones/seo-para-pymes/,17,7,23,no,0,0,0
https://pixvo.tech/mx/soluciones/automatizacion-de-procesos/,mx,solution,P1,automation,/mx/sistema-crecimiento-digital/,/mx/soluciones/automatizacion-de-procesos/,55,8,23,no,0,0,0
https://pixvo.tech/mx/soluciones/automatizacion-de-marketing/,mx,solution,P2,automation,/mx/soluciones/automatizacion-de-procesos/,/mx/soluciones/automatizacion-de-procesos/,8,1,21,no,0,0,0
https://pixvo.tech/mx/soluciones/seguimiento-de-leads/,mx,solution,P1,leads,/mx/sistema-crecimiento-digital/,/mx/soluciones/seguimiento-de-leads/,55,4,23,no,0,0,0
https://pixvo.tech/mx/soluciones/analitica-digital/,mx,solution,P2,analytics,/mx/sistema-crecimiento-digital/,/mx/soluciones/analitica-digital/,28,2,23,no,0,0,0
https://pixvo.tech/mx/soluciones/optimizacion-wordpress/,mx,solution,P2,wordpress,/mx/sistema-crecimiento-digital/,/mx/soluciones/optimizacion-wordpress/,16,6,24,no,0,0,0
https://pixvo.tech/mx/soluciones/optimizacion-de-conversion/,mx,solution,P2,cro,/mx/sistema-crecimiento-digital/,/mx/soluciones/optimizacion-de-conversion/,18,3,21,no,0,0,0
https://pixvo.tech/mx/problemas/leads-no-convierten/,mx,problem,P1,leads,/mx/soluciones/seguimiento-de-leads/,/mx/soluciones/seguimiento-de-leads/,4,1,17,no,0,0,0
https://pixvo.tech/mx/problemas/reducir-tareas-manuales/,mx,problem,P1,automation,/mx/soluciones/automatizacion-de-procesos/,/mx/soluciones/automatizacion-de-procesos/,4,1,16,no,0,0,0
https://pixvo.tech/mx/problemas/web-no-convierte/,mx,problem,P1,cro,/mx/soluciones/optimizacion-de-conversion/,/mx/soluciones/optimizacion-de-conversion/,4,1,18,no,0,0,0
https://pixvo.tech/mx/problemas/dependencia-publicidad-paga/,mx,problem,P1,seo,/mx/soluciones/seo-para-pymes/,/mx/soluciones/seo-para-pymes/,4,2,17,no,0,0,0
https://pixvo.tech/mx/problemas/medir-resultados-marketing/,mx,problem,P1,analytics,/mx/soluciones/analitica-digital/,/mx/soluciones/analitica-digital/,3,1,17,no,0,0,0
https://pixvo.tech/mx/problemas/conectar-marketing-y-ventas/,mx,problem,P1,leads,/mx/soluciones/seguimiento-de-leads/,/mx/soluciones/seguimiento-de-leads/,3,0,17,no,0,0,0
https://pixvo.tech/mx/problemas/wordpress-lento/,mx,problem,P1,wordpress,/mx/soluciones/optimizacion-wordpress/,/mx/soluciones/optimizacion-wordpress/,3,1,18,no,0,0,0
https://pixvo.tech/mx/problemas/contenido-no-genera-clientes/,mx,problem,P1,seo,/mx/soluciones/contenido-seo/,/mx/soluciones/seo-para-pymes/,3,2,17,no,0,0,0
https://pixvo.tech/mx/casos-de-exito/,mx,case_index,P1,proof,/mx/sistema-crecimiento-digital/,/mx/sistema-crecimiento-digital/,52,6,21,no,0,0,0
https://pixvo.tech/mx/casos-de-exito/microcuotas/,mx,case_study,P1,automation,/mx/casos-de-exito/,/mx/soluciones/automatizacion-de-procesos/,11,1,19,no,0,0,0
https://pixvo.tech/mx/casos-de-exito/hospital-metropolitano/,mx,case_study,P2,automation,/mx/casos-de-exito/,/mx/soluciones/automatizacion-de-procesos/,4,1,19,no,0,0,0
https://pixvo.tech/mx/casos-de-exito/sanidad-web/,mx,case_study,P2,wordpress,/mx/casos-de-exito/,/mx/soluciones/optimizacion-wordpress/,6,1,21,no,0,0,0
https://pixvo.tech/mx/casos-de-exito/paola-informa/,mx,case_study,P2,product,/mx/casos-de-exito/,/mx/sistema-crecimiento-digital/,5,1,19,no,0,0,0
https://pixvo.tech/mx/casos-de-exito/arpitools/,mx,case_study,P2,product,/mx/casos-de-exito/,/mx/sistema-crecimiento-digital/,3,1,19,no,0,0,0
https://pixvo.tech/mx/recursos/,mx,resource_index,P2,research,/mx/sistema-crecimiento-digital/,/mx/auditoria-crecimiento-digital/,52,8,23,no,0,0,0
https://pixvo.tech/mx/recursos/seo-vs-google-ads/,mx,comparison,P2,seo,/mx/recursos/,/mx/soluciones/seo-para-pymes/,3,1,17,no,0,0,0
https://pixvo.tech/mx/recursos/agencia-seo-vs-consultor-seo/,mx,comparison,P2,seo,/mx/recursos/,/mx/soluciones/seo-para-pymes/,2,1,16,no,0,0,0
https://pixvo.tech/mx/recursos/seo-mensual-vs-auditoria/,mx,comparison,P2,seo,/mx/recursos/,/mx/soluciones/seo-para-pymes/,7,2,16,no,0,0,0
https://pixvo.tech/mx/recursos/n8n-vs-zapier/,mx,comparison,P2,automation,/mx/recursos/,/mx/soluciones/automatizacion-de-procesos/,5,2,17,no,0,0,0
https://pixvo.tech/mx/recursos/crm-vs-automatizacion-de-leads/,mx,comparison,P2,leads,/mx/recursos/,/mx/soluciones/seguimiento-de-leads/,4,1,16,no,0,0,0
https://pixvo.tech/mx/recursos/rediseno-web-vs-optimizacion-cro/,mx,comparison,P2,cro,/mx/recursos/,/mx/soluciones/optimizacion-de-conversion/,3,1,18,no,0,0,0
https://pixvo.tech/mx/recursos/seo-vs-sistema-de-crecimiento/,mx,comparison,P2,growth-system,/mx/recursos/,/mx/sistema-crecimiento-digital/,4,1,16,no,0,0,0
https://pixvo.tech/mx/blog/,mx,blog_index,P2,editorial,/mx/,/mx/sistema-crecimiento-digital/,52,14,29,no,0,0,0
https://pixvo.tech/mx/blog/ataque-real-en-npm-como-el-compromiso-de-axios-expuso-miles-de-entornos-sin-que-nadie-lo-notara/,mx,article,P2,editorial:security,/mx/blog/,/mx/sistema-crecimiento-digital/,1,0,17,no,0,0,0
https://pixvo.tech/mx/blog/matriz-objetivo-icp-canal-lead-magnet-pagina-evento-de-conversion-metricas/,mx,article,P3,editorial:analytics-conversion,/mx/blog/,/mx/soluciones/analitica-digital/,1,0,18,no,0,0,0
https://pixvo.tech/mx/blog/por-que-un-sitio-wordpress-no-puede-quedar-librado-a-la-suerte-y-como-evitar-dolores-de-cabeza-despues/,mx,article,P3,editorial:wordpress,/mx/blog/,/mx/soluciones/optimizacion-wordpress/,1,0,19,no,0,0,0
